	NR	Malgruppe	Alder	Region	Kjonnsidentitet	KID_egne_ord	Cis	Spesifiser_Cis	Pronomener	Intersex	Seksuell_orientering_1	Seksuell_orientering_2	Seksuell_orientering_3	Seksuell_orientering_4	Seksuell_orientering_5	Seksuell_orientering_6	Seksuell_orientering_7	Seksuell_orientering_8	SO_egne_ord	Annen_RO	RO_1	RO_2	RO_3	RO_4	RO_5	RO_6	RO_7	RO_8	RO_egne_ord	Synlig_Skeiv_1	Synlig_Skeiv_2	Synlig_Skeiv_3	Synlig_Skeiv_4	Synlig_Skeiv_5	Skeiv_ID	Marginalisert_ident	Spesifiser_marg_ident	Sist_besok	Hyppighet	Urban	Deichman	Valgt_andre_bib	UV	UBU	Andre_temaer	Arr	utlan	bla_i	datamaskin	still_spm	utrygt	m_med_respekt	feilkjonnet	antatt_orientering	Interaksjon_bibansatt_1	Interaksjon_bibansatt_2	Interaksjon_bibansatt_3	Interaksjon_bibansatt_4	Interaksjon_brukere_1	Interaksjon_brukere_2	Interaksjon_brukere_3	Interaksjon_brukere_4	Utvalg_KID	Utvalg_Orientering	Utvalg_Intersex	Utvalg_lykkelig	Utvalg_fag	Aldri_tenkt	Utrygt_stille_spm	Rep_matters_B	Bib_pleier_ha	Alltid_velkommen	Trygge_rom_gen_B	Ingen_rolle	Ingenting_tilby	Bibs_ansvar	Minoritetsstress_ansatte	Minoritetsstress_brukere	Lhbtiq_vennlig	Rom_for_forbedring	Andre_brukere	Helt_meg_selv	Ikke_velkommen	Ingen_rolle_IB	Trygge_rom_pers_IB	Trygge_rom_gen_IB	Godt_utvalg	Skeiv_medieforbruk_pos	Skeiv_medieforbruk_neg	Rep_matters_IB	Mer_skj_item	Mer_skj_skaper	Mer_skj_mangfold	Mer_faglitt	Mer_BU	Bedre_gjenfinning	Info	Kompetanseheving	Apne_ansatte	Tredje_KI	Selvbestemt_KID	Endre_KID	Toaletter	Pronomen_bruk	Nulltoleranse	Skilting	Behov_kompetanseheving	Overall_tilfredshet	Svartid
17	12437391		30-44	O	IB	Gul	N		hen/hens	N			Bi		Q					N														U	1.0	Y		Mindre enn 3 måneder siden	40 ganger eller mer	Y	N	N	-1.0	-1.0	-1.0	-1.0	-2.0	-2.0	1.0	-2.0	-2.0	2.0	Y	U			U				U		-2.0	0.0		0.0	-2.0	-1.0	1.0	-1.0	0.0	2.0	2.0	2.0	-2.0	1.0	-2.0	-2.0	2.0	1.0	1.0	2.0									1	1	0	2	1	2	1	2	0	2	2	2	2	0	2	1	5.0	6.0	14 minutter 24 sekunder
18	12437401		16-29	O	M	Mann, transmann	N		Han	U				LG	Q					N										Y					2.0	N		Mindre enn 3 måneder siden	6-9 ganger		Y	Y	-1.0	-1.0	1.0	1.0	0.0	1.0	-2.0	-2.0	-2.0	1.0	Y	Y			U					N	-2.0	1.0		-1.0	-1.0	-2.0	1.0	2.0	0.0	1.0	1.0	1.0	-2.0	2.0	-1.0	-2.0	1.0	2.0	0.0	1.0									2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	1	6.0	5.0	22 minutter 59 sekunder
19	12437595		30-44	O	IB	Gender-eh, genderqueer, skeiv	N		Hen/hun	N			Bi		Q				Skeiv/bi	N										Y					2.0	U	Innvandrer (tysk)	Mindre enn 3 måneder siden	40 ganger eller mer		Y	Y	-1.0	-1.0	1.0	-1.0	1.0	0.0	-2.0	-1.0	-1.0	1.0	Y	Y			U		Y_Pos	Y_Neg			-2.0	-1.0		-2.0	1.0	-2.0	-2.0	2.0	0.0	1.0	1.0	-1.0	-2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0									2	2	2	2	2	2	-1	2	2	1	2	2	2	1	2	2	6.0	5.0	19 minutter 12 sekunder
20	12437698		45-60	N	K		Y		Hun/henne	N				LG	Q					SU			Bi		Q					Y					1.0	N		Mindre enn 3 måneder siden	40 ganger eller mer	N	N	N	2.0	2.0	2.0	1.0	0.0	0.0	-2.0	0.0	-2.0	2.0	N	N	Y_Pos				Y_Pos				2.0	-1.0		2.0	1.0	-2.0	-2.0	2.0	1.0	2.0	2.0	2.0	-2.0	2.0	-2.0	-2.0	2.0	-1.0	-1.0	2.0									1	1	2	1	1	0	0	-1	1	2	2	2	2	0	2	2	5.0	6.0	14 minutter 18 sekunder
21	12437738		16-29	S	M		N		Han	N	Ace									SU						Fluid				Y		I			-1.0	U	Talefeiler. Synes ikke, men kan oppfattes som dum av de som ikke kjenner til det.	3-11 måneder siden	6-9 ganger	N	N	N	0.0	-2.0	-1.0	-2.0	-1.0	0.0	-1.0	-2.0	-2.0	1.0	U	N				N				N	-2.0	-2.0		0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	-1.0	1.0	2.0	2.0	1.0	0.0	1.0	1.0									1	1	2	2	1	0	1	2	2	2	2	2	2	2	2	1	6.0	4.0	22 minutter 38 sekunder
22	12437742		16-29	O	K		Y		Hun/henne	N			Bi						Bifil	N													N		2.0	N		Mindre enn 3 måneder siden	10-19 ganger	N	N	Y	0.0	-1.0	2.0	-1.0	1.0	2.0	-2.0	-2.0	-2.0	2.0	N	U				N				N		-1.0		-2.0	0.0	-2.0	0.0	2.0	-1.0	2.0	2.0	2.0	-2.0	1.0	-2.0	-2.0	2.0	1.0	1.0	2.0									2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	5.0	5.0	16 minutter 21 sekunder
23	12437775		45-60	N	IB		SU		Du	N				LG	Q					N										Y					0.0	N		Mindre enn 3 måneder siden	3-5 ganger	N	N	N	-2.0	-2.0	-2.0	-2.0	-1.0	-1.0	-1.0	-1.0	-2.0	2.0	N	N				N	Y_Pos				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0		2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0									0	0	1	0	1	0	0	0	1	1	1	0	1	0	2	0	4.0	4.0	12 minutter 44 sekunder
24	12437828		45-60	V	K	Kvinne	NONE	Er uenig i bruk av cis. Jeg er en lesbisk kvinne	Hun	N				LG					Lesbisk	Y				LG					Lesbisk	Y					-2.0	N		Mindre enn 3 måneder siden	40 ganger eller mer	N	N	N	-1.0	-1.0	2.0	0.0	0.0	0.0	-1.0	-2.0	-2.0	2.0	N	N				N			U		1.0	1.0	1.0	-1.0	1.0		2.0	2.0	1.0	2.0	2.0	2.0	-2.0	1.0	1.0	1.0	2.0	0.0	1.0	2.0									2	2	1	1	2	2	2	1	2	-2	0	-2	-2	-2	2	0	5.0	5.0	12 minutter 2 sekunder
25	12437872		45-60	O	M	Mann	N		Kommer an på hvem jeg omtaler.	N				LG					Homo,homse homofil	N										Y					2.0	N		6 år siden eller mer																																													-2.0	-1.0	-2.0	2.0	1.0	2.0	-2.0	2.0	2	1	1	2	1	1	2	0	0	0	0	0	0	0	2	0			19 minutter 18 sekunder
26	12437888		16-29	N	K		Y		hun/henne	N	Ace		Bi							SU			Bi									I			1.0	N		Mindre enn 3 måneder siden	6-9 ganger	N	N	N	-1.0	-1.0	-2.0	-2.0	0.0	-2.0	-2.0	-2.0	-1.0	2.0	N	N	Y_Pos							N	2.0	-1.0		-2.0	0.0	-2.0	1.0	1.0	-2.0	1.0	1.0	-1.0	-2.0	0.0	1.0	2.0	2.0	0.0	2.0	1.0									1	1	2	0	1	2	0	1	1	2	0	2	2	0	2	-1	5.0	4.0	52 minutter 13 sekunder
27	12437918		30-44	O	IB	Kjønnsflytende	N		Hun, han eller hen. Alle er ok	U			Bi		Q				Skeiv	N											S				1.0	N		3-11 måneder siden	3-5 ganger		Y	N	-1.0	-1.0	-1.0	-1.0	-2.0	-1.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	-2.0	-1.0		0.0	-1.0	2.0	0.0	1.0		2.0	1.0	1.0	-1.0	1.0	-1.0	-2.0	2.0	0.0	1.0	1.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	5.0	4.0	14 minutter 58 sekunder
28	12438061		16-29	T	K		Y		hun/henne/de	N			Bi		Q	Fluid			Skeiv/bifil	N											S	I			1.0	U	Nevromangfoldig	Mindre enn 3 måneder siden	40 ganger eller mer	Y	N	N	1.0	1.0	0.0	0.0	0.0	-1.0	0.0	-1.0	-2.0	1.0	N	Y			U				U		2.0	-1.0		1.0	-1.0	-2.0	-1.0	2.0	-1.0	2.0	1.0	-1.0	-2.0	2.0	-1.0	1.0	2.0	1.0	2.0	1.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6.0	5.0	13 minutter 55 sekunder
29	12438122		16-29	N	K		Y		Hun/henne	U			Bi		Q					N												I			1.0	Y		1-3 år siden	1-2 ganger	Y	N	N	-2.0	-2.0	-1.0	-1.0	-2.0	-2.0	-2.0	-2.0	-2.0	1.0	N	N				N				N	1.0	-2.0		-2.0		1.0	0.0	2.0			1.0	1.0	0.0	0.0	-2.0	-1.0	0.0	0.0	0.0	-1.0									2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	4.0	4.0	14 minutter 43 sekunder
30	12438216		16-29	V	IB		N		De/dem	N	Ace		Bi		Q				Panfil	SU			Bi		Q							I			1.0	Y		Mindre enn 3 måneder siden	20-39 ganger	Y	N	N	1.0	1.0	-1.0	-1.0	-1.0	0.0	-2.0	-2.0	-2.0	2.0	Y	Y				N			U		-2.0	-1.0	1.0	-1.0	-2.0	1.0	-1.0	2.0	-1.0	2.0	1.0	2.0	1.0	-1.0	-1.0	-1.0	0.0	1.0	-1.0	1.0									2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	-1	6.0	3.0	15 minutter 34 sekunder
31	12438261		16-29	O	K		Y		hun/henne, de/dem	N			Bi						Panfil	N										Y	S				1.0	U	tells at jeg er kvinne?	3-11 måneder siden	3-5 ganger	Y	N	N	-1.0	-1.0	-1.0	-1.0	1.0	1.0	-2.0	-2.0	-2.0	2.0	N	Y			U				U		2.0	-2.0		1.0	-1.0	-2.0	1.0	2.0	0.0	2.0	1.0	0.0	-1.0	2.0	1.0	1.0	1.0	2.0	0.0	2.0									2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	6.0	6.0	8 minutter 14 sekunder
32	12438422		45-60	O	IB	Midt-i-mellom	NONE	Føler meg hverken som kvinne eller mann	Hun( men bruker mer navn enn pronomen)	N			Bi		Q				Skeiv	N										Y					1.0	N		Mindre enn 3 måneder siden	10-19 ganger	Y	N	N	-1.0	-2.0	-1.0	-2.0	0.0	1.0	-2.0	1.0	-1.0	2.0	Y	U			U		Y_Pos	Y_Neg			-1.0	-1.0	-2.0	1.0	1.0	-2.0	-2.0	2.0	1.0	2.0	1.0	2.0	-2.0	2.0	-2.0	-1.0	2.0	1.0	0.0	2.0									2	2	2	2	2	2	2	2	1	2	0	0	2	0	2	2	6.0	5.0	30 minutter 8 sekunder
33	12438462		16-29	O	M		Y		Han	N			Bi						Bifil	N												I			1.0	N		Mindre enn 3 måneder siden	20-39 ganger		Y	N	-2.0	-2.0	0.0	-2.0	1.0	0.0	-1.0	-2.0	-2.0	1.0	N	N				N				N	0.0	0.0		0.0	0.0	-2.0	-1.0	1.0	0.0	1.0	1.0	1.0	-2.0	-1.0	-1.0	-1.0	1.0	0.0	0.0	1.0									0	1	0	0	0	1	0	0	0	2	1	1	1	0	2	0	5.0	5.0	15 minutter 30 sekunder
34	12438512		16-29	O	K		Y		Hun	N			Bi		Q					N												I			2.0	N		Mindre enn 3 måneder siden	40 ganger eller mer	N	N	Y	-2.0	-1.0	-2.0	-2.0	-1.0	0.0	1.0	0.0	-1.0	1.0	N	Y	Y_Pos	Y_Neg	U				U		1.0	-2.0		-2.0	-2.0	-2.0	-1.0	2.0	-2.0	-1.0	-1.0	-2.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	-2.0									2	2	2	2	2	2	2	1	1	2	1	2	1	0	2	2	6.0	2.0	46 minutter 54 sekunder
35	12439029		30-44	O	IB	Hovedsaklig bare paraplyen ikke-binær, men også trans, agender/akjønnet, genderqueer/kjønnsskeiv	N		Han/ham og hen, he/him og they/them på engelsk	N			Bi		Q				Skeiv/queer, bi+, bifil, panfil, og engelske ekvivalenter	N												I			2.0	N		3-11 måneder siden	1-2 ganger		Y	Y	0.0	-2.0	-2.0	-1.0	-1.0	-1.0	-2.0	-2.0	-1.0	1.0	N	U			U				U		-2.0	-2.0		-2.0	0.0	2.0		2.0		0.0	-1.0	-1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	-1.0									2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	6.0	3.0	21 minutter 36 sekunder
36	12439074		45-60	O	K	Dame	Y		Hun	N				LG					Homo	N													N		2.0	N		1-3 år siden	1-2 ganger		Y	N	-2.0	-2.0	-2.0	-2.0	-2.0	-1.0	-2.0	-1.0	-2.0	2.0	N	N				N				N	-2.0	-2.0	0.0	-1.0	0.0	-2.0	-2.0	2.0	-1.0	2.0	2.0	2.0	-1.0	2.0	-2.0	-2.0	1.0	0.0	0.0	2.0									2	2	2	2	2	2	2	1	0	1	2	0	0	0	2	0	6.0	2.0	19 minutter 44 sekunder
37	12439198		16-29	O	K		Y		Hun/henne	N			Bi		Q				Bifil	N												I			1.0	N		Mindre enn 3 måneder siden	10-19 ganger		Y	N	-1.0	-1.0	0.0	-1.0	0.0	1.0	-2.0	-2.0	-2.0	2.0	N	N			U	N			U	N	2.0	-1.0		1.0	1.0	-2.0	1.0	2.0	1.0	2.0	2.0	1.0	-2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0									2	1	2	2	2	2	1	0	1	2	2	2	2	1	2	1	5.0	3.0	16 minutter 42 sekunder
38	12439280		45-60	N	IB		N		hun	N				LG						N										Y					2.0	N		6 år siden eller mer																																													-2.0	2.0	-2.0	2.0	1.0	2.0	-2.0	2.0	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	0			6 minutter 44 sekunder
39	12439488		45-60	N	K		Y		Hun	N				LG						N														U	2.0	N		Mindre enn 3 måneder siden	3-5 ganger		Y	N	0.0	0.0	-2.0	0.0	0.0	1.0	-1.0	-1.0	-2.0	2.0	N	N			U					N	-1.0	-1.0		0.0	-1.0	-2.0	1.0	2.0	-2.0	2.0	0.0	1.0	-1.0	2.0	-2.0	-2.0	2.0	0.0	1.0	-1.0									2	2	2	0	2	1	2	2	2	2	2	2	2	0	2	1	6.0	2.0	19 minutter 47 sekunder
40	12439495		16-29	O	SU	mann	Y		han	N				LG	Q	Fluid			homofil	N										Y					2.0	N		Mindre enn 3 måneder siden	40 ganger eller mer		Y	Y	1.0	1.0	1.0	1.0	1.0	0.0	-2.0	-1.0	-1.0	0.0	N	N	Y_Pos							N	1.0	0.0	1.0	-1.0	1.0	-2.0	1.0	1.0	0.0	1.0	0.0	1.0	-2.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0									1	1	1	0	1	1	1	1	1	1	2	2	2	1	1	1	5.0	5.0	9 minutter 36 sekunder
41	12439502		16-29	O	M		N		han/ham	N				LG	Q					N											S	I			2.0	N		Mindre enn 3 måneder siden	6-9 ganger		Y	N	-1.0	-2.0	0.0	-1.0	0.0	0.0	-2.0	-2.0	-2.0	2.0	Y	U			U					N	2.0	-1.0		-2.0	-2.0	-1.0	0.0	1.0	-1.0	2.0	2.0	0.0	-1.0	1.0	-2.0	-1.0	1.0	0.0	1.0	1.0									2	1	2	2	1	1	-1	1	-1	2	2	2	1	0	2	-1	4.0	6.0	13 minutter 12 sekunder
42	12440287		30-44	O	K		Y		hun/henne	N			Bi							N												I			1.0	U	veganer (livssyn)	3-11 måneder siden	10-19 ganger		Y	N	-1.0	-2.0	1.0	1.0	0.0	0.0	-2.0	-1.0	-2.0	2.0	N	N				N				N	2.0	-2.0		-1.0	-2.0	-2.0	1.0	2.0	-1.0	2.0	1.0	1.0	-2.0	2.0	-1.0	-2.0	1.0		1.0	2.0									2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	6.0	6.0	1 time 6 minutter 27 sekunder
43	12440402		16-29	O	SU	Demikvinne	SU		Hun/henne	N	Ace				Q	Fluid				Y			Bi		Q				Panromantisk			I		U	2.0	Y		3-11 måneder siden	6-9 ganger		Y	Y	0.0	-2.0	-1.0	-2.0	0.0	-1.0	-2.0	-2.0	-2.0	1.0	N	N				N			U		2.0	-2.0		-1.0	-1.0	-2.0	-1.0	2.0	0.0	2.0	2.0	-1.0	-2.0	2.0	-1.0	-1.0	1.0	1.0	0.0	1.0									1	2	2	2	2	2	2	2	2	2	1	2	2	0	2	1	5.0	5.0	18 minutter 16 sekunder
